title,year,doi
The Judgment Bias Task: A flexible method for assessing individual differences in social judgment biases,2018,10.1016/J.JESP.2018.02.011
Following one's true self and the sacredness of cultural values,2018,10.1016/J.JESP.2018.01.001
From belief to deceit: How expectancies about others' ethics shape deception in negotiations,2018,10.1016/J.JESP.2018.02.013
Depersonalized extended contact and injunctive norms about cross-group friendship impact intergroup orientations,2018,10.1016/J.JESP.2018.02.010
What's next? Disentangling availability from representativeness using binary decision tasks,2018,10.1016/J.JESP.2018.03.006
Happy to help? A systematic review and meta-analysis of the effects of performing acts of kindness on the well-being of the actor,2018,10.1016/J.JESP.2018.02.014
Framing advantageous inequity with a focus on others: A catalyst for equity restoration,2018,10.1016/J.JESP.2018.03.002
"It's not what you do, but what everyone else does: On the role of descriptive norms and subjectivism in moral judgment",2018,10.1016/J.JESP.2018.03.010
A Minimal Turing Test,2018,10.1016/J.JESP.2018.05.007
Fluid racial presentation: Perceptions of contextual “passing” among biracial people,2018,10.1016/J.JESP.2018.04.010
(Pre)occupations: A data-driven model of jobs and its consequences for categorization and evaluation,2018,10.1016/J.JESP.2018.04.001
The influence of visual context on the evaluation of facial trustworthiness,2018,10.1016/J.JESP.2018.04.011
"Dominance biases in the perception and memory for the faces of powerholders, with consequences for social inferences",2018,10.1016/J.JESP.2018.05.003
Polarization and positivity effects: Divergent roles of group entitativity in warmth and competence judgments,2018,10.1016/J.JESP.2017.09.003
Think it through before making a choice? Processing mode does not influence social mindfulness,2018,10.1016/J.JESP.2017.09.001
"CEOs imbue organizations with feelings, increasing punishment satisfaction and apology effectiveness",2018,10.1016/J.JESP.2018.06.002
Bias at the intersection of identity: Conflicting social stereotypes of gender and race augment the perceived femininity and interpersonal warmth of smiling Black women,2018,10.1016/J.JESP.2017.08.007
When the Valence of Unconditioned Stimuli Evolves over Time: Evaluative Conditioning with Good-Ending and Bad-Ending Stories.,2018,10.1016/J.JESP.2017.08.006
"Why do Americans believe in economic mobility? Economic inequality, external attributions of wealth and poverty, and the belief in economic mobility",2018,10.1016/J.JESP.2018.07.012
Expanding minds: Growth mindsets of self-regulation and the influences on effort and perseverance,2018,10.1016/J.JESP.2018.07.003
From grumpy to cheerful (and back): How power impacts mood in and across different contexts,2018,10.1016/J.JESP.2018.05.004
Perceived partner responsiveness promotes intellectual humility,2018,10.1016/J.JESP.2018.05.006
The benefits and burdens of keeping others' secrets,2018,10.1016/J.JESP.2018.02.005
Being biased against friends to appear unbiased,2018,10.1016/J.JESP.2018.05.009
Promoting concern about gender bias with evidence-based confrontation,2018,10.1016/J.JESP.2017.07.009
Intergroup dissimilarity predicts physiological synchrony and affiliation in intergroup interaction,2018,10.1016/J.JESP.2017.08.001
Bridging Racial Divides: Social Constructionist (vs. Essentialist) Beliefs Facilitate Trust in Intergroup Contexts,2018,10.1016/J.JESP.2017.09.008
Personal Conflict Impairs Performance on an Unrelated Self-Control Task: Lingering Costs of Uncertainty and Conflict.,2018,10.1016/j.jesp.2017.09.010
Simultaneous ingroup and outgroup favoritism in implicit social cognition,2018,10.1016/J.JESP.2018.08.007
On the symbolic generalization of likes and dislikes,2018,10.1016/J.JESP.2018.09.002
Taking the point of view of the blind: Spontaneous level-2 perspective-taking in irrelevant conditions,2018,10.1016/J.JESP.2018.08.015
Reflecting on God's will: Reflective processing contributes to religious peoples' deontological dilemma responses,2018,10.1016/J.JESP.2018.08.013
Attitude change as a function of the number of words in which thoughts are expressed,2018,10.1016/J.JESP.2017.09.012
The interpersonal effects of emotions in money versus candy games,2018,10.1016/J.JESP.2018.08.014
Racial discrimination and belief in a just world: Police violence against teenagers in Brazil,2018,10.1016/J.JESP.2017.10.009
How seemingly innocuous words can bias judgment: Semantic prosody and impression formation,2017,10.1016/J.JESP.2017.10.012
Representing other minds: Mental state reference is moderated by group membership,2017,10.1016/J.JESP.2017.11.013
Reshaping social structure through performances: Emergent solidarity between actors and observers,2018,10.1016/J.JESP.2017.12.002
Educationism and the irony of meritocracy: negative attitudes of higher educated people towards the less educated,2017,10.1016/J.JESP.2017.11.001
A new look at sensorimotor aspects in approach/avoidance tendencies: The role of visual whole-body movement information,2018,10.1016/J.JESP.2017.12.004
Incremental mindsets and the reduced forgiveness of chronic failures,2018,10.1016/J.JESP.2017.12.003
